up down i
0 0 inf1
1 1 02
790.2976842131841 790.2976842131843 -99.87346540171184168
796.0018370954051 796.0018370954053 -99.87437214923413169
801.7119071373894 801.7119071373896 -99.87526691432458170
807.4278595323149 807.4278595323151 -99.8761499261892171
813.1496598804567 813.149659880457 -99.87702140831655172
818.877274182087 818.8772741820873 -99.87788157865309173
824.6106688305381 824.6106688305383 -99.87873064977222174
830.3498106054259 830.3498106054261 -99.87956882903717175
836.0946666660279 836.0946666660282 -99.8803963187581176
841.8452045448118 841.8452045448121 -99.88121331634353177
847.6013921411098 847.6013921411101 -99.88202001444645178
853.3631977149359 853.3631977149362 -99.88281660110519179
859.1305898809409 859.1305898809411 -99.88360325987946180
864.9035376025014 864.9035376025016 -99.88438016998153181
870.6820101859404 870.6820101859406 -99.88514750640292182
876.4659772748739 876.4659772748741 -99.88590544003671183
882.2554088446818 882.2554088446821 -99.88665413779562184
888.0502751970985 888.0502751970987 -99.88739376272612185
893.8505469549206 893.8505469549208 -99.88812447411858186
899.6561950568287 899.6561950568289 -99.88884642761377187
905.4671907523197 905.4671907523199 -99.88955977530573188
911.2835055967469 911.2835055967471 -99.89026466584129189
917.1051114464651 917.1051114464653 -99.89096124451618190
922.9319804540781 922.9319804540784 -99.89164965336798191
928.7640850637854 928.7640850637856 -99.89233003126611192
934.601398006826 934.6013980068262 -99.89300251399875193
940.4438922970169 940.4438922970171 -99.89366723435703194
946.2915412263829 946.2915412263832 -99.89432432221641195
952.1443183608773 952.1443183608775 -99.8949739046155196
958.002197536188 958.0021975361882 -99.89561610583236197
963.8651528536307 963.8651528536309 -99.89625104745834198
969.7331586761238 969.733158676124 -99.89687884846951199
975.6061896242451 975.6061896242453 -99.89749962529605200
981.4842205723663 981.4842205723666 -99.89811349188919201
987.3672266448657 987.3672266448659 -99.89872055978627202
993.2551832124145 993.2551832124147 -99.89932093817366203
999.1480658883378 999.148065888338 -99.89991473394781204
1005.045850525045 1005.045850525046 -99.90050205177432205
1010.948513210533 1010.948513210534 -99.90108299414537206
1016.856030264953 1016.856030264954 -99.90165766143519207
1022.768378237248 1022.768378237248 -99.90222615195404208
1028.685533901849 1028.68553390185 -99.90278856200044209
1034.607474255446 1034.607474255447 -99.90334498591177210
